
BY PERCENT:
WordData(word='their', count=2887, percent=3.204)
WordData(word='shall', count=2483, percent=2.755)
WordData(word='which', count=2217, percent=2.46)
WordData(word='people', count=1858, percent=2.062)
WordData(word='behold', count=1636, percent=1.815)
WordData(word='should', count=1184, percent=1.314)
WordData(word='things', count=922, percent=1.023)
WordData(word='there', count=827, percent=0.918)
WordData(word='because', count=817, percent=0.907)
WordData(word='lamanites', count=767, percent=0.851)
WordData(word='these', count=743, percent=0.824)
WordData(word='great', count=692, percent=0.768)
WordData(word='therefore', count=663, percent=0.736)
WordData(word='words', count=660, percent=0.732)
WordData(word='nephi', count=639, percent=0.709)
WordData(word='forth', count=629, percent=0.698)
WordData(word='would', count=613, percent=0.68)
WordData(word='among', count=596, percent=0.661)
WordData(word='against', count=575, percent=0.638)
WordData(word='father', count=567, percent=0.629)
WordData(word='brethren', count=559, percent=0.62)
WordData(word='according', count=531, percent=0.589)
WordData(word='after', count=517, percent=0.574)
WordData(word='those', count=503, percent=0.558)
WordData(word='about', count=494, percent=0.548)
WordData(word='again', count=487, percent=0.54)
WordData(word='might', count=463, percent=0.514)
WordData(word='christ', count=462, percent=0.513)
WordData(word='before', count=439, percent=0.487)
WordData(word='nephites', count=439, percent=0.487)
WordData(word='power', count=426, percent=0.473)
WordData(word='began', count=418, percent=0.464)
WordData(word='wherefore', count=415, percent=0.461)
WordData(word='earth', count=404, percent=0.448)
WordData(word='children', count=357, percent=0.396)
WordData(word='concerning', count=352, percent=0.391)
WordData(word='spirit', count=289, percent=0.321)
WordData(word='faith', count=287, percent=0.318)
WordData(word='hearts', count=283, percent=0.314)
WordData(word='could', count=281, percent=0.312)
WordData(word='exceedingly', count=268, percent=0.297)
WordData(word='being', count=262, percent=0.291)
WordData(word='wilderness', count=261, percent=0.29)
WordData(word='brought', count=258, percent=0.286)
WordData(word='church', count=255, percent=0.283)
WordData(word='moroni', count=255, percent=0.283)
WordData(word='israel', count=252, percent=0.28)
WordData(word='spoken', count=251, percent=0.279)
WordData(word='chapter', count=243, percent=0.27)
WordData(word='death', count=240, percent=0.266)

BY COUNT:
WordData(word='their', count=2887, percent=3.204)
WordData(word='shall', count=2483, percent=2.755)
WordData(word='which', count=2217, percent=2.46)
WordData(word='people', count=1858, percent=2.062)
WordData(word='behold', count=1636, percent=1.815)
WordData(word='should', count=1184, percent=1.314)
WordData(word='things', count=922, percent=1.023)
WordData(word='there', count=827, percent=0.918)
WordData(word='because', count=817, percent=0.907)
WordData(word='lamanites', count=767, percent=0.851)
WordData(word='these', count=743, percent=0.824)
WordData(word='great', count=692, percent=0.768)
WordData(word='therefore', count=663, percent=0.736)
WordData(word='words', count=660, percent=0.732)
WordData(word='nephi', count=639, percent=0.709)
WordData(word='forth', count=629, percent=0.698)
WordData(word='would', count=613, percent=0.68)
WordData(word='among', count=596, percent=0.661)
WordData(word='against', count=575, percent=0.638)
WordData(word='father', count=567, percent=0.629)
WordData(word='brethren', count=559, percent=0.62)
WordData(word='according', count=531, percent=0.589)
WordData(word='after', count=517, percent=0.574)
WordData(word='those', count=503, percent=0.558)
WordData(word='about', count=494, percent=0.548)
WordData(word='again', count=487, percent=0.54)
WordData(word='might', count=463, percent=0.514)
WordData(word='christ', count=462, percent=0.513)
WordData(word='before', count=439, percent=0.487)
WordData(word='nephites', count=439, percent=0.487)
WordData(word='power', count=426, percent=0.473)
WordData(word='began', count=418, percent=0.464)
WordData(word='wherefore', count=415, percent=0.461)
WordData(word='earth', count=404, percent=0.448)
WordData(word='children', count=357, percent=0.396)
